"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"JUP","17","P14923","alpha-catenin binding ; cadherin binding ; cell adhesion molecule binding ; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication ; protein homodimerization activity ; protein kinase binding ; protein phosphatase binding ; signal transducer activity ; structural constituent of cell wall ; structural molecule activity ; transcription coactivator activity","R-HSA-418990;R-HSA-5218920;R-HSA-6798695;R-HSA-6805567;R-HSA-6809371;","hsa05221","IPR011989;IPR016024;IPR000225;IPR013284;IPR030461;","PF00514;","LIMA1;ATP6AP2;TMEM17;CTNNB1;FRMD5;MCM7;DYNLL1;MAP1LC3B;ZFYVE9;CDK5RAP3;CAT;CDK15;PTPRJ;EGFR;GOLT1B;USP1;ESR1;MRPL9;CTNNA1;FLNA;CTNNA2;CTNNBIP1;CCDC130;PSEN1;DSP;MAPK7;DBN1;RAB7A;NFKBIE;ERBB2;FHL2;CEP128;CDH2;TCF7L2;WDYHV1;RIBC2;NFATC4;PPP2R2B;ARHGDIA;APC;AXIN1;SYNPO;GABARAPL2;YEATS4;GABARAPL1;WWTR1;BIRC2;BRCA1;GH1;DSG2;PHB2;PECAM1;","XRCC5;ATP6AP2;BTRC;XRCC6;IARS2;TMEM17;CTNNB1;CUL2;INSIG2;CUL7;PLOD2;TARDBP;EED;WWOX;EGFR;PAN2;PTPRK;PTPRF;GOLT1B;USP1;MYH9;CTNNA1;CTNNA3;CTNNA2;ST13;CCDC130;DSP;MAPK7;DBN1;CCDC8;RAB7A;NFKBIE;ERBB2;ITGB4;ATP6V1B2;PTRH2;GMPPB;RIBC2;OBSL1;ARHGDIA;AXIN1;B4GALT1;MUC1;YEATS4;RAB8B;PTPN14;HNRNPA1;LGALS9;BRCA1;DSG2;DSG3;PKP2;PKP3;NTRK1;DSG1;GRK5;LIMA1;COPS5;NARS;TRMT1;PTEN;DES;C21orf59;DYNLL1;ZFYVE9;CAT;MSN;CDK15;ABCE1;ESR1;MRPL9;FLNA;CDK2;CTNNBIP1;CCDC51;C1QBP;GANAB;FHL2;CDH1;CEP128;CDH2;CDH3;TCF7L2;WDYHV1;CDH5;CSDE1;SLC25A44;NFATC4;HSPA4;NENF;SYNPO;PLEC;APC;RBM24;RAD51AP1;MSH2;SAMHD1;ILF3;DPYSL3;PDE3A;BIRC2;GJB1;GMCL1;ILF2;RPL21;PHB2;PECAM1;DSC3;DSC2;DSC1;CUL4B;ABCC2;CDH10;","DSP;CDH1;PTPRF;EED;APC;ERBB2;CTNNA1;CTNNB1;CDH1;EGR1;CTNNB1;TCF7L2;CTNNB1;AFF4;ATAD3B;CDK15;NDUFA4;FKBP5;WDYHV1;CTNNBIP1;ARHGDIA;DSG2;CTNNB1;PSEN1;TCF7L2;TCF7L2;FHL2;TCF7L2;PSEN1;PSEN1;DSP;CTNNB1;PECAM1;CTNNA1;WWTR1;EGFR;CAMK2G;CTNNB1;ALG3;EXOSC9;BCLAF1;DKC1;LSR;CTNNA1;PKP2;GTF3C2;NUP88;MCM6;LZTS2;ST6GAL2;SIPA1L1;LMNB2;RBM14;SNTB2;MIOS;ARHGEF7;LMNB1;MATR3;NOP2;WDR43;MCM7;HSP90AB1;HSP90AA1;LAD1;MCM4;UTP18;PLEC;MARVELD2;STT3B;PPP1R12A;KIAA1462;LMNA;DDX3X;ARHGEF6;BUD13;DDX51;DDX21;SDAD1;TTC7A;LYN;SNW1;CTNND1;PPAN;USP39;DTX3L;LIMA1;ABLIM3;NOP56;MCM2;RGS7;HACD3;MYO1C;FIP1L1;DYRK1B;XRN2;RBM39;GFPT1;IQSEC1;ADD3;RSRC2;ICK;LARP7;CTTN;AHNAK;ZNF185;PRKCD;THRAP3;PRPF3;ZC3H18;ILF3;PKP3;CDH2;RIBC2;PFDN4;PFDN1;PFDN6;PFDN2;PFDN5;DSC1;GAPDH;DSG1;MAPK7;VBP1;ZFYVE9;CDK5RAP3;FRMD5;BIRC2;PECAM1;CTNNA2;CCDC130;PTPRJ;RPS2;MKI67;DDX18;MYL6;RPL21;DDX27;SRRM1;RPL29;SRSF1;RPL36AL;HNRNPM;TOP2B;RPL10;FLNA;RPL24;RPL19;MYBBP1A;TOP2A;RRP12;SRSF7;RPL28;RRP1B;RPL7A;SRSF2;RPL18A;RPS6;RPS9;RPL8;ILF2;HSPA8;HNRNPA1L2;SERPINB4;TRIP12;RPL37A;DDX54;MAPKAPK2;HNRNPK;RPL15;RBM14;CLTC;ACTC1;PLEC;FTSJ3;GNL3;NUMA1;RPL6;RPS18;EXOSC10;RPL18;WDR18;ELMSAN1;H2AFX;DHX15;ATAD3A;KHDRBS1;DDX21;RPL17;HNRNPR;SFN;ANXA2;DDX3Y;VPS13D;SYNCRIP;AKAP8;DDX3X;PABPC1;HNRNPF;ZNF512B;NOP56;RPLP0;DDX5;RPL3;S100A8;MYO1B;NCCRP1;MYH9;SRSF3;EPPK1;GTPBP4;GSN;RDX;GAPDH;UBTF;HNRNPA1;RPS23;RPS4X;RBMX;NCL;FUS;HSPA1L;TECR;RPS16;ESR1;SEC61B;ANXA2P2;RBM39;RPS8;LGALS7;EWSR1;TF;MYO1C;TFRC;SRSF5;HACD3;CAPRIN1;RPL4;RPN1;S100A7;RPS14;HNRNPA3;RPL12;RPL7;RPL22;RSL1D1;RPL36A;THRAP3;RPL13;HDAC1;RPN2;PARP1;ACTB;PELP1;RPS3A;DHX9;RPL13A;SLC25A5;U2SURP;PGAM5;EMD;THEM6;DKC1;BCLAF1;MYL6B;TOP1;RPL27A;HDAC2;DDX17;U2AF2;SF3B1;RPL14;POF1B;RPS26;NAT10;PHB2;GH1;NFATC4;PECAM1;CTNNB1;CTNNB1;NAA25;CDH2;IQGAP1;NFKBIE;FER;SRC;DSG1;DSC1;CDH15;BTRC;AXIN1;PKP2;PTPN14;PTPRK;PKD1;CTNND1;CDH5;DSG3;TCF4;DSC2;MUC1;FYN;DSC3;CTNND1;CTNNB1;BCAR1;PKD1;PTK2;TLN1;VCL;SRC;PXN;ACTN1;CTNNB1;CDH1;LGALS9;CDH3;PKP3;RAB8B;GJB1;USP1;INSIG2;CUL4B;CUL2;CDK2;COPS5;GRK5;ILF3;PLEC;ITGB4;PTRH2;B4GALT1;RPL21;DBN1;SLC25A44;ABCC2;NENF;IARS2;ILF2;DES;ESR1;PAN2;CTNNA3;BRCA1;MAPK7;CDK15;TARDBP;ATP6V1B2;C1QBP;CSDE1;GANAB;GMPPB;HSPA4;DPYSL3;MSH2;NARS;PDE3A;PLOD2;SAMHD1;ST13;TRMT1;XRCC5;XRCC6;WWOX;MDM2;CDH10;CUL7;OBSL1;CCDC8;ABCE1;RAD51AP1;C21orf59;CCDC51;GMCL1;RBM24;SIL1;TBC1D8","400.42","0.99","0.34","E","lung;heart;tongue;thyroid;placenta;liver;kidney;skin;","2017-06-22 00:00:00"
"KAL1","X","P23352","extracellular matrix structural constituent ; heparin binding ; serine-type endopeptidase inhibitor activity","R-HSA-190373;R-HSA-5654726;",NULL,"IPR003961;IPR013783;IPR008197;","PF00041;PF00095;","FGFR2;FGFR1;FGF2;","SDC2;DDX42;","FGFR1;FGFR2;FGFR1;FGF2;SDC2;DDX42","58.17","0.49","0.21",NULL,NULL,"2017-06-22 00:00:00"
"KCNA5","12","P22460","alpha-actinin binding ; delayed rectifier potassium channel activity ; outward rectifier potassium channel activity ; potassium channel inhibitor activity ; protein kinase binding ; receptor binding ; scaffold protein binding ; voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization ; voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization ; voltage-gated potassium channel activity involved in SA node cell action potential repolarization","R-HSA-1296072;","hsa00010;hsa00051;hsa00052;hsa00500;hsa00521;hsa00530","IPR000210;IPR005821;IPR003968;IPR003972;IPR004052;IPR011333;IPR003131;IPR028325;","PF02214;PF00520;","HSP90AB1;ACTN2;","CAV1;KCNAB2;KCNAB1;FHL1;KCNA2;KCNA4;KCNA3;KCNA5;SRC;DLG4;DLG1;DYNC1I1;HSP90AA1;RAB4A;UBE2I;ACTN2;SIRT1;PRKCB;DCTN2;PRKCQ;TFRC;ERBB2IP;FYN;RAB5A;TNK2;GNB2L1;SNTA1;","SNTA1;ERBB2IP;ACTN2;HSP90AB1;UBE2I;SUMO1;UBC;SUMO3;SUMO2;PTPRE;SRC;DLG1;DLG4;KCNA2;FHL1;RAB5A;RAB4A;KCNA3;TFRC;CAV1;KCNA4;FYN;KCNAB1;GNB2L1;PRKCB;PRKCQ;DYNC1I1;DCTN2;TNK2;HSP90AA1;KCNAB2;SIRT1","249.25","0.24","0.21","N","superior cervical ganglion;hypothalamus;trigeminal ganglion;","2017-06-22 00:00:00"
"KCNE1","21","P15382","delayed rectifier potassium channel activity ; potassium channel regulator activity ; telethonin binding","R-HSA-5576890;R-HSA-5576893;",NULL,"IPR000369;IPR005424;","PF02060;","UBASH3A;KCNQ1;TPM3;CALM1;","ADRB2;UBASH3A;KCNH2;KCNQ1;TPM3;","KCNQ1;CALM1;KCNQ1;PRKCA","36.55","0.12","0.33","N","superior cervical ganglion;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"KCNE2","21","Q9Y6J6","delayed rectifier potassium channel activity ; inward rectifier potassium channel activity ; ion channel binding ; potassium channel regulator activity ; protein homodimerization activity ; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization","R-HSA-5576890;R-HSA-5576893;",NULL,"IPR000369;IPR005425;","PF02060;",NULL,"ATP4A;KCNQ1;","KCNH2;KCNQ1;ATP4A","35.75","0.08","0.11","N","dorsal root ganglion;superior cervical ganglion;testis;pons;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"KCNH2","7","Q12809","C3HC4-type RING finger domain binding ; delayed rectifier potassium channel activity ; identical protein binding ; inward rectifier potassium channel activity ; phosphorelay sensor kinase activity ; protein homodimerization activity ; scaffold protein binding ; ubiquitin protein ligase binding ; voltage-gated potassium channel activity ; voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization ; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization","R-HSA-1296072;R-HSA-5576890;",NULL,"IPR018490;IPR000595;IPR005821;IPR003938;IPR003967;IPR001610;IPR000014;IPR000700;IPR014710;","PF00027;PF00520;PF13426;","NDUFS6;CAV1;MAP1LC3B;PASK;CDC73;KCNH2;GABARAP;ARHH;","CAV3;FKBP8;HSP90AA1;STIP1;CDC73;CALR;STUB1;YWHAE;CANX;NDUFS6;ALG10B;NTRK1;BAG2;DNAJA1;KCNE1;RAB11A;HSPA4;NEDD4L;HSPA8;CUL1;","CANX;HSP90AA1;DNAJA1;HSPA8;BAG2;STIP1;FKBP8;CAV1;CDC73;PASK;NDUFS6;RHOH;ALG10;YWHAE;KCNE2;ALG10B;PRKACA;YWHAH;HSPA4;CUL1;CAV3;NEDD4L;CALR;RAB11A;STUB1","1151.75","0.71","0.3","E","superior cervical ganglion;testis;ciliary ganglion;caudate nucleus;atrioventricular node;trigeminal ganglion;skeletal muscle;bone marrow;","2017-06-22 00:00:00"
"KCNJ10","1","P78508","ATP-activated inward rectifier potassium channel activity ; ATP binding ; G-protein activated inward rectifier potassium channel activity ; inward rectifier potassium channel activity","R-HSA-1296041;R-HSA-1296067;R-HSA-997272;",NULL,"IPR014756;IPR016449;IPR003269;IPR013518;","PF01007;","KCNJ16;MAGI1;SIAH1;","SEC24B;SEC24A;MLC1;YTHDF1;TMED8;COPB2;TTC1;ADO;APP;COPG1;BAG1;DYNLL1;SIAH1;HSPA8;SEC23B;SNTA1;","KCNJ16;SNTA1;SIAH1;MAGI1;DLG1;IL16;DLG4;INADL;APP;MLC1;HSPA8;COPB2;SEC24B;COPG1;SEC23B;TTC1;YTHDF1;TMED8;DYNLL1;SEC24A;BAG1;ADO","260.84","0.18","0.38","E",NULL,"2017-06-22 00:00:00"
"KCNQ1","11","P51787","calmodulin binding ; delayed rectifier potassium channel activity ; ion channel binding ; outward rectifier potassium channel activity ; phosphatidylinositol-4,5-bisphosphate binding ; protein kinase A catalytic subunit binding ; protein kinase A regulatory subunit binding ; protein phosphatase 1 binding ; scaffold protein binding ; voltage-gated potassium channel activity ; voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization ; voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization ; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization","R-HSA-1296072;R-HSA-5576890;R-HSA-5576893;","hsa05110","IPR005821;IPR003937;IPR013821;IPR005827;IPR028325;","PF00520;PF03520;","GRB2;KCNE1;AKAP9;TRAF6;CALM1;","PPP1CA;PRKAR2A;ATP4A;USP2;NEDD4;KCNE1;KCNE2;HSPA4;PRKACA;AKAP9;NEDD4L;KCNQ2;TRAF6;AP2M1;","TRAF6;AKAP9;KCNE1;GRB2;CALM1;KCNE1;CALM1;PSMD1;PSMD7;PSMD12;PSMD6;PSMC3;PSMD3;PSMB5;PSMC2;TRAF6;PSMD13;PSMC1;KCNE4;KCNE2;PPP1CB;PPP1CA;PRKACA;PPP1CC;PRKAR2A;PRKAR2B;AKAP9;PRKACB;PRKACG;PRKAR2A;PPP1CA;PRKACA;KCNQ2;HSPA4;NEDD4;USP2;AP2M1;NEDD4L;ATP4A","131.1","0.32","0.34","N","pancreas;superior cervical ganglion;adrenal gland;thyroid;adrenal cortex;fetal thyroid;skeletal muscle;","2017-06-22 00:00:00"
"KISS1R","19","Q969F8","neuropeptide receptor activity","R-HSA-375276;R-HSA-416476;","hsa04080","IPR000276;IPR017452;IPR008103;","PF00001;","PPP2CA;","KISS1;PTTG1;","KISS1;PPP2CA","123.53","0.12","0.16","E",NULL,"2017-06-22 00:00:00"
"KRT14","17","P02533","keratin filament binding ; structural constituent of cytoskeleton","R-HSA-446107;R-HSA-6805567;R-HSA-6809371;","hsa01430","IPR001664;IPR018039;IPR002957;","PF00038;","EGFR;IGHG1;GABARAPL2;E2F3;GABARAPL1;GABARAP;TRADD;EIF4A3;PKP1;KRT5;MAP1LC3A;PKP2;ALB;MAP1LC3B;IGHA1;MDM2;HSPA5;PPP2R2B;APC;","IQCB1;COPS5;GRB2;RPS6KB2;NEDD8;PTEN;CUL3;CUL2;CUL5;CUL7;KRT5;ALB;POU5F1;UBASH3B;OBSL1;SHC1;KRT3;HSPA5;HNRNPC;CUL1;APC;PIK3R2;AP2M1;INPPL1;MAGOH;CBL;HNRNPA1;HNRNPU;EPS15;EIF4A3;EVPL;PKP1;MDM2;CAND1;CUL4B;CRK;CCDC8;","HNRNPF;RPL3;BCAS2;SRSF4;SNW1;KRT1;RALY;HNRNPH2;HIST1H1C;HIST1H2AD;HIST3H3;SNRPD3;RPL17;ERH;RBM22;ACIN1;SRSF12;SON;XAB2;SNRNP70;KRT9;CDC40;DDX3X;SCAF1;PLRG1;ZC3H11A;RBM8A;RPL7;YTHDC1;THRAP3;SRSF8;YBX1;RPL13;HNRNPC;RPL13A;HIST1H2AA;PGAM5;CDC5L;DDX39B;SNRPB;RNPS1;AQR;RBM39;SAP18;RPS8;ZC3H14;CHTOP;YBX3;SNRNP40;RPS24;CRNKL1;CASC3;RPL4;SRRM1;SRSF1;PNN;HNRNPM;SRSF9;RPL10;HIST1H4A;PRPF19;RPL19;RPL24;DDX39A;SRSF7;PPIE;RPL7A;MAGOHB;RPL28;SRSF2;BCLAF1;ALYREF;SRRM2;PRMT1;TRA2A;DDX17;SF3B1;ILF3;SRSF6;CCDC9;PRPF4B;SF3A1;SF3B2;SNRNP200;CWC22;RPS3;KRT16;ZC3H13;RPL6;FMR1;RPL18;DHX15;RPS6;CWC15;EIF4A3;RPS9;SRSF10;RPL8;SF3B3;ILF2;MATR3;HIST1H2BC;TRA2B;FYTTD1;EFTUD2;PRPF8;MAGOH;HNRNPH1;SRSF3;LBR;SUN2;DHX33;KDM1A;DOCK8;RPS3;ZBED4;SLC2A1;TCERG1;SHOC2;HNRNPU;SLC25A4;EFTUD2;ATP1A1;MATR3;NPLOC4;ADGRF5;HSPA5;NCAPG;XRCC5;SEC61A1;SLC25A3;ALB;CPT1A;SMARCA1;E2F3;HSPA6;ATP2A2;RB1;CLASP1;TCF7L2;AHCTF1;ACADS;CTNNA1;MYBBP1A;PCLO;NDUFS1;ALPI;CCDC9;SLC27A4;LRPPRC;NAT10;PMM1;CTNNB1;RPS27L;RHOT1;NUP98;RBSN;GPAM;DHCR7;SLC25A10;IMPA1;NOLC1;ZNF300;SFMBT1;POLG;MRPL57;SCD;L3MBTL3;ITGB1;DHX9;PGAP1;SLC25A5;PARP1;SP1;SMPD4;TNXB;MSH6;RAB13;HSPA9;PRKDC;GPD2;INTS6;XRCC6;TFRC;TMEM33;MYO1C;SLC25A6;ENOX2;EEF1A1;IMMT;MYO1B;RHOT2;MYO6;NCL;AGPAT5;DDB1;KRT1;TECR;STT3A;ZNF148;NUP205;TRRAP;CEBPZ;HADHA;TRIM28;INTS3;GTPBP2;ATAD3A;KAT2A;DDX21;AKAP8;TRIM23;LMNA;AFG3L2;WRN;NOTCH3;RFC1;NOC2L;ZC3H11A;NUP93;INTS5;HELLS;DDX41;KRT9;MSH2;NUMA1;HLTF;SLC16A3;PKP1;KRT5;PKP1;ADRA1B;APOA1;OR2T6;IGHG1;PDE4B;TLN2;HP;CDC45;IGHG2;GABBR1;KRT9;APOC1;DDB1;KRT1;ZNF232;GJC2;ATM;KLK3;OR8D2;CACNA1I;CTSL;KCNMA1;TTR;SETX;ALB;FGA;FN1;KRT10;PLAG1;RLF;CDCP1;APC;PKP2;HSPA5;HSPA5;TBRG4;YWHAE;ATP2A2;YWHAQ;CTNNA1;BCAR3;KRT5;EPHA2;PXN;TUBB;CSE1L;CKAP4;S100A11;HSP90AB1;HSPA8;HIST1H1E;TRIM29;EFNB1;HNRNPH1;HNRNPK;HSPD1;PEX19;HIST1H2BC;SLC3A2;EEF1A1;EIF2B3;SHC1;PTK2B;HNRNPF;KRT1;DNAJA1;ATXN10;FHL2;EPHB4;STAT3;KRT6A;CTNND1;TXN;SFN;KRT17;CBL;LRRC59;EGFR;GRB2;ATP5B;BCAR1;YES1;PTK2;DNAJA3;DNAJA2;ERBB2;SLC25A5;XPOT;HSPB1;CAV1;CBLB;YWHAZ;TNK2;HSPA9;CDK1;CDCP1;KPNB1;SLC25A3;PKP2;TRADD;CKAP2;PLG;TGM4;CTSL;TTR;PRSS3;ALB;SPEF2;GTPBP3;SERTAD3;TBC1D19;FGA;SERPIND1;KRT10;FN1;TF;SKIV2L2;APOA1;GDF10;CACNA2D2;IGHA1;CTR9;PNMA1;KRT9;CHMP4C;QTRTD1;APOC1;UNC79;KRT1;TIAM1;CLU;KRT5;ZNF232;CFB;APOE;TIAM1;APOC3;GJC2;ATM;KRT5;KLK3;OR8D2;SLA2;PPBP;PCDH1;ITIH1;CACNA1I;ITGA2;DGKG;LAT;KRT16;CABLES1;KRT13;CTSL;OBSL1;KCNMA1;TSC22D1;TTR;PLA2G4F;ST13;SETX;TRAPPC11;CFD;TTN;SCN5A;SLC25A13;CLCA2;ITGB5;AHSG;PRSS3;AGA;ALB;KIAA0232;LDB3;AP1M1;SACS;OR3A2;DMD;FGA;PF4V1;PCED1B;APOA4;CRB1;PHC3;FN1;NCOA3;EXOC6;PLAG1;KRT10;RANBP3;SGOL2;SPAST;ADRA1B;MYL4;RYR2;RLF;HPX;APOA2;JARID2;CST3;CDCP1;NLRC4;CTAGE5;CNOT1;MYLK3;F7;THRAP3;APOA1;SPATA31A7;PDZRN4;IGDCC4;NPHS1;OR2T6;DICER1;F2;CEP44;AMPD3;APOC2;SH3BP5;IGHG1;TTPAL;CROT;ZNF292;HP;CFH;TLN2;PDE4B;PALB2;CDC45;RANBP2;KRT6B;FAM71E2;SCAF1;AP4E1;QTRTD1;CAMTA1;KRT9;GABBR1;DERL1;APOC1;GSN;DCD;PEG3;KIAA1551;DDB1;SERPING1;KRT1;SLC1A5;KRT6A;CHKB;SORBS3;GFAP;GRAP2;SLC9A8;TCHP;DST;PTEN;CUL3;CUL4B;CUL5;CUL2;CUL1;COPS5;CAND1;NEDD8;MDM2;INPPL1;CBL;UBASH3B;GRB2;PIK3R2;SHC1;CRK;EPS15;AP2M1;KRT3;HNRNPC;EVPL;HNRNPU;MAGOH;EIF4A3;ALB;IQCB1;CUL7;OBSL1;CCDC8;EGFR","2570.3","0.33",NULL,"E","dorsal root ganglion;lung;olfactory bulb;trachea;tongue;placenta;atrioventricular node;trigeminal ganglion;skin;tonsil;thymus;","2017-06-22 00:00:00"
"KRT5","12","P13647","scaffold protein binding ; structural constituent of cytoskeleton","R-HSA-446107;R-HSA-6805567;R-HSA-6809371;","hsa01430","IPR001664;IPR018039;IPR032444;IPR003054;","PF00038;PF16208;","EGFR;IGHG1;YEATS4;GABARAPL2;GABARAPL1;KRT31;TP63;GABARAP;KIFC3;BTK;KRT38;PKP1;MAP1LC3A;PKP2;ALB;MAP1LC3B;KRT40;KRT15;KRT14;PPP2R2B;FN1;ALOX12;APC;","COPS5;COPS6;TP63;RPS6KB2;LGR4;BTK;KIFC3;CUL3;CUL2;CUL5;CUL7;KRT40;SHC1;CUL1;INPPL1;MAGOH;RELA;KRT10;EIF4A3;DCUN1D1;ADRB2;KRT18;KRT16;KRT15;KRT14;CAND1;ALOX12;CCDC8;IQCB1;GRB2;NEDD8;SUMO2;UBASH3B;ALB;KRT1;KRT2;OBSL1;KRT3;AP2M1;PIK3R2;APC;FN1;YEATS4;CBL;KRT31;HNRNPA1;EPS15;KRT38;PKP2;CUL4B;CRK;","ADRB2;PKP1;KRT38;KRT15;ALOX12;KRT40;KIFC3;PKP2;KRT31;CARM1;SEC24C;UACA;UPF2;FLNC;RPL12;HNRNPA3;RPL13A;DHX9;HNRNPCL1;ZBTB4;HNRNPAB;FASN;HNRNPR;MYL12A;MAP1A;SYNCRIP;CAD;EEF1A1;PLS3;RPLP0;RPL3;TUBA1C;FUS;S1PR5;NONO;HSP90AB1;HNRNPK;KRT6C;CPSF6;HIST1H1D;SAFB;ZNF676;A2M;CENPE;TP63;VCP;SNRPA;HSPA5;HNRNPL;CCT8;SACS;GOLGA4;RPSA;RPL24;ATP5A1;PSMD2;KRT14;PKP1;APC;RPS3;HRNR;TUBA4A;EEF1A2;DBN1;NDUFS1;ATP5A1;FLNA;POTEKP;TUBB4B;ACTN1;SPTA1;TWF1;BTK;MYLK2;GAPDH;SFPQ;ATP5B;DDX3X;AFG3L2;ACTA1;HADHA;HSPA5;TBRG4;YWHAE;ATP2A2;YWHAQ;CTNNA1;BCAR3;KRT14;EPHA2;PXN;TUBB;CSE1L;CKAP4;S100A11;HSP90AB1;HSPA8;HIST1H1E;TRIM29;EFNB1;HNRNPH1;HNRNPK;HSPD1;PEX19;HIST1H2BC;SLC3A2;EEF1A1;EIF2B3;SHC1;PTK2B;HNRNPF;KRT1;DNAJA1;ATXN10;FHL2;EPHB4;STAT3;KRT6A;CTNND1;TXN;SFN;KRT17;CBL;LRRC59;EGFR;GRB2;ATP5B;BCAR1;YES1;PTK2;DNAJA3;DNAJA2;ERBB2;SLC25A5;XPOT;HSPB1;CAV1;CBLB;YWHAZ;TNK2;HSPA9;CDK1;CDCP1;KPNB1;SLC25A3;PKP2;KRT14;DSP;TCHP;ZNF232;CFB;APOE;TIAM1;APOC3;GJC2;ATM;KLK3;KRT14;OR8D2;SLA2;PPBP;PCDH1;ITIH1;CACNA1I;ITGA2;DGKG;LAT;KRT16;CABLES1;KRT13;CTSL;OBSL1;KCNMA1;TSC22D1;TTR;PLA2G4F;ST13;SETX;TRAPPC11;CFD;TTN;SCN5A;SLC25A13;CLCA2;ITGB5;AHSG;PRSS3;AGA;ALB;KIAA0232;LDB3;AP1M1;SACS;OR3A2;DMD;FGA;PF4V1;PCED1B;APOA4;CRB1;PHC3;FN1;NCOA3;EXOC6;PLAG1;KRT10;RANBP3;SGOL2;SPAST;ADRA1B;MYL4;RYR2;RLF;HPX;APOA2;JARID2;CST3;CDCP1;NLRC4;CTAGE5;CNOT1;MYLK3;F7;THRAP3;APOA1;SPATA31A7;PDZRN4;IGDCC4;NPHS1;OR2T6;DICER1;F2;CEP44;AMPD3;APOC2;SH3BP5;IGHG1;TTPAL;CROT;ZNF292;HP;CFH;TLN2;PDE4B;PALB2;CDC45;RANBP2;KRT6B;FAM71E2;SCAF1;AP4E1;QTRTD1;CAMTA1;KRT9;GABBR1;DERL1;APOC1;GSN;DCD;PEG3;KIAA1551;DDB1;SERPING1;KRT1;SLC1A5;KRT6A;CHKB;SORBS3;GFAP;GRAP2;SLC9A8;KRT1;EVPL;ALOX12B;KRT18;DST;CUL3;CUL4B;CUL5;CUL2;CUL1;COPS5;COPS6;DCUN1D1;CAND1;NEDD8;INPPL1;CBL;UBASH3B;GRB2;PIK3R2;SHC1;CRK;EPS15;AP2M1;KRT3;MAGOH;EIF4A3;BTK;ALB;FN1;TP63;IQCB1;MDM2;LGR4;RELA;CUL7;OBSL1;CCDC8;SUMO2;KRT7;EGFR","1967.55","0.78","0.59","E","lung;trachea;tongue;tonsil;skin;thymus;","2017-06-22 00:00:00"
"LAMA1","18","P25391","extracellular matrix structural constituent ; protein C-terminus binding ; receptor binding","R-HSA-3000157;R-HSA-3000171;R-HSA-3000178;R-HSA-373760;R-HSA-8874081;","hsa01430;hsa04510;hsa04512;hsa05060;hsa05222","IPR013320;IPR000742;IPR008979;IPR009254;IPR010307;IPR002049;IPR001791;IPR000034;IPR008211;","PF00052;PF00053;PF00054;PF06008;PF06009;PF00055;","NES;AP4E1;ATL2;STRN3;CBX4;TOMM40;VPS50;LAMB3;BAG3;DNAJC7;MAPK9;HSPA5;TUBG1;SUCO;","PLAT;NES;ATL2;AP4E1;LGALS3;STRN3;CBX4;ITGA1;HSPG2;TOMM40;ITGA2;CCDC132;ITGB1;PLG;LGALS9;LAMB3;FBLN2;BAG3;DNAJC7;MEP1A;UBC;MAPK9;TUBG1;HSPA5;SUCO;","LAMC1;LAMB1;LAMC1;LAMB2;MAPK10;FTH1;SPTAN1;MAPK9;MAPK8;DUSP8;APP;FBLN2;NID1;APCS;SAA1;PTPRF;NID1;LAMB1;LAMC1;SAA2;ITGB1;DAG1;MATN2;NID1;HSPG2;ITGA1;PLAT;PLG;TMPRSS6;MEP1A;COL7A1;C3;ITGA2;ACHE;NT5E;UBC;MAPK9;LGALS3;LGALS9","6734.86","0.17",NULL,"E","dorsal root ganglion;subthalamic nucleus;superior cervical ganglion;testis - seminiferous tubule;globus pallidus;testis;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;","2017-06-22 00:00:00"
